sku,total,lines_json
D-2301886,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
DL-JCDZ-130-032,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DLR-212152075,217,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":92},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":125}]"
DLR-212154100,146,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":76},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":70}]"
DLR-212159100,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DLR-212189030,87,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":16},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":71}]"
DR-DA0100000050R,78,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":52},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":26}]"
DR-DA0220014010,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA0220014050,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA0220014080,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
DR-DA0220014100,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA0220014102,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
DR-DA0220014151,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
DR-DA0220014215,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA0220014280,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA0220014601,11,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":7},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
DR-DA0220014752,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
DR-DA0220014962,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA0800500000,-20,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-15},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-5}]"
DR-DA0801000000,-32,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-25},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-7}]"
DR-DA0810500000,26,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":25},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
DR-DA0811000000,16,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":13},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
DR-DA0821000000,-16,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-10},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-6}]"
DR-DA0831000000,-6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-2}]"
DR-DA0840160000,8,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
DR-DA0851000000,-14,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-14},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
DR-DA3000100002R,8,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":6}]"
DR-DU809R,39,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":34},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
DR-DU816R,94,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":89},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
DR-DU836R,71,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":68},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
F-40470110,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
F-40470130,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
F-44470115,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
F-44470116,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
